"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"MedicationKnowledgePDH","MedicationKnowledge.indicationGuideline.dosingGuideline.administrationTreatment","MedicationKnowledge.indicationGuideline.dosingGuideline.administrationTreatment","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of treatment the guideline applies to","The type of the treatment that the guideline applies to, for example, long term therapy, first line treatment, etc.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.administrationTreatment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic","","","",0,*,"Y","","","BackboneElement {[]} {[]}
","Characteristics of the patient that are relevant to the administration guidelines","Characteristics of the patient that are relevant to the administration guidelines (for example, height, weight, gender, etc.).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.id","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"MedicationKnowledgePDH","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.extension","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.modifierExtension","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.type","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Categorization of specific characteristic that is relevant to the administration guideline","The categorization of the specific characteristic that is relevant to the administration guideline (e.g. height, weight, gender).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.value[x]","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.value[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
Quantity {[]} {[]}Range {[]} {[]}","The specific characteristic","The specific characteristic (e.g. height, weight, gender, etc.).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.medicineClassification","MedicationKnowledge.medicineClassification","","","",0,*,"Y","","","BackboneElement {[]} {[]}
","Categorization of the medication within a formulary or classification system","Categorization of the medication within a formulary or classification system.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.medicineClassification",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.medicineClassification.id","MedicationKnowledge.medicineClassification.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"MedicationKnowledgePDH","MedicationKnowledge.medicineClassification.extension","MedicationKnowledge.medicineClassification.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.medicineClassification.modifierExtension","MedicationKnowledge.medicineClassification.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.medicineClassification.type","MedicationKnowledge.medicineClassification.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The type of category for the medication (for example, therapeutic classification, therapeutic sub-classification)","The type of category for the medication (for example, therapeutic classification, therapeutic sub-classification).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/medication-classification-type","",,,,"MedicationKnowledge.medicineClassification.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.medicineClassification.source[x]","MedicationKnowledge.medicineClassification.source[x]","","","",0,1,"","","","string {[]} {[]}
uri {[]} {[]}","The source of the classification","Either a textual source of the classification or a reference to an online source.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.medicineClassification.source[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.medicineClassification.classification","MedicationKnowledge.medicineClassification.classification","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Specific category assigned to the medication","Specific category assigned to the medication (e.g. anti-infective, anti-hypertensive, antibiotic, etc.).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.medicineClassification.classification",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.packaging","MedicationKnowledge.packaging","","","",0,*,"","","","BackboneElement {[]} {[]}
","Details about packaged medications","Information that only applies to packages (not products).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.packaging",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.packaging.id","MedicationKnowledge.packaging.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"MedicationKnowledgePDH","MedicationKnowledge.packaging.extension","MedicationKnowledge.packaging.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.packaging.modifierExtension","MedicationKnowledge.packaging.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.packaging.cost","MedicationKnowledge.packaging.cost","","","",0,*,"","","","null {[]} {[]}
","Cost of the packaged medication","The cost of the packaged medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.packaging.cost",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.packaging.packagedProduct","MedicationKnowledge.packaging.packagedProduct","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/PackagedProductDefinition|5.0.0]]}
","The packaged medication that is being priced","A reference to a PackagedProductDefinition that provides the details of the product that is in the packaging and is being priced.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.packaging.packagedProduct",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.clinicalUseIssue","MedicationKnowledge.clinicalUseIssue","","","",1,*,"Y","","","Reference {[]} {[CanonicalType[http://example.com/fhir/example/StructureDefinition/InteracoesPDH], CanonicalType[http://example.com/fhir/example/StructureDefinition/IndicacoesPDH], CanonicalType[http://example.com/fhir/example/StructureDefinition/ContraIndicacoesPDH]]}
","Questões clínicas relacionadas ao uso do medicamento","Questões clínicas relacionadas ao uso do medicamento, como contraindicações, interações medicamentosas, e outras considerações importantes para o uso seguro e eficaz do produto.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.clinicalUseIssue",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline","MedicationKnowledge.storageGuideline","","","",0,*,"","","","BackboneElement {[]} {[]}
","How the medication should be stored","Information on how the medication should be stored, for example, refrigeration temperatures and length of stability at a given temperature.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.id","MedicationKnowledge.storageGuideline.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.extension","MedicationKnowledge.storageGuideline.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.modifierExtension","MedicationKnowledge.storageGuideline.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.reference","MedicationKnowledge.storageGuideline.reference","","","",0,1,"","","","uri {[]} {[]}
","Reference to additional information","Reference to additional information about the storage guidelines.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline.reference",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.note","MedicationKnowledge.storageGuideline.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional storage notes","Additional notes about the storage.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.stabilityDuration","MedicationKnowledge.storageGuideline.stabilityDuration","","","",0,1,"","","","Duration {[]} {[]}
","Duration remains stable","Duration that the medication remains stable if the environmentalSetting is respected.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline.stabilityDuration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.environmentalSetting","MedicationKnowledge.storageGuideline.environmentalSetting","","","",0,*,"","","","BackboneElement {[]} {[]}
","Setting or value of environment for adequate storage","Describes a setting/value on the environment for the adequate storage of the medication and other substances.  Environment settings may involve temperature, humidity, or exposure to light.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline.environmentalSetting",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.environmentalSetting.id","MedicationKnowledge.storageGuideline.environmentalSetting.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.environmentalSetting.extension","MedicationKnowledge.storageGuideline.environmentalSetting.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.environmentalSetting.modifierExtension","MedicationKnowledge.storageGuideline.environmentalSetting.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.environmentalSetting.type","MedicationKnowledge.storageGuideline.environmentalSetting.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Categorization of the setting","Identifies the category or type of setting (e.g., type of location, temperature, humidity).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline.environmentalSetting.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.storageGuideline.environmentalSetting.value[x]","MedicationKnowledge.storageGuideline.environmentalSetting.value[x]","","","",1,1,"","","","Quantity {[]} {[]}
Range {[]} {[]}CodeableConcept {[]} {[]}","Value of the setting","Value associated to the setting. E.g., 40° – 50°F for temperature.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline.environmentalSetting.value[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.regulatory","MedicationKnowledge.regulatory","","","",0,*,"","","","BackboneElement {[]} {[]}
","Regulatory information about a medication","Regulatory information about a medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.regulatory",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.regulatory.id","MedicationKnowledge.regulatory.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"MedicationKnowledgePDH","MedicationKnowledge.regulatory.extension","MedicationKnowledge.regulatory.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.regulatory.modifierExtension","MedicationKnowledge.regulatory.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.regulatory.regulatoryAuthority","MedicationKnowledge.regulatory.regulatoryAuthority","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","Specifies the authority of the regulation","The authority that is specifying the regulations.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.regulatory.regulatoryAuthority",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.regulatory.substitution","MedicationKnowledge.regulatory.substitution","","","",0,*,"","","","BackboneElement {[]} {[]}
","Specifies if changes are allowed when dispensing a medication from a regulatory perspective","Specifies if changes are allowed when dispensing a medication from a regulatory perspective.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.regulatory.substitution",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.regulatory.substitution.id","MedicationKnowledge.regulatory.substitution.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"MedicationKnowledgePDH","MedicationKnowledge.regulatory.substitution.extension","MedicationKnowledge.regulatory.substitution.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.regulatory.substitution.modifierExtension","MedicationKnowledge.regulatory.substitution.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
